policy_type,namespace,destination_cidr,allowed
Reachability,milan,100.0.13.0/24,true
Reachability,budapest,100.0.13.0/24,true
Reachability,london,100.0.13.0/24,true
Reachability,vienna,100.0.13.0/24,true
Reachability,marseille,100.0.13.0/24,true
Reachability,amsterdam,100.0.13.0/24,true
Reachability,lisbon,100.0.13.0/24,false
Reachability,zurich,100.0.13.0/24,true
Reachability,athens,100.0.13.0/24,true
Reachability,sofia,100.0.13.0/24,true
Reachability,lyon,100.0.13.0/24,true
Reachability,stockholm,100.0.13.0/24,false
Reachability,paris,100.0.13.0/24,true
Reachability,madrid,100.0.12.0/24,false
Reachability,bratislava,100.0.12.0/24,false
Reachability,istanbul,100.0.12.0/24,false
Reachability,geneva,100.0.12.0/24,false
Reachability,basel,100.0.12.0/24,false
Reachability,praha,100.0.12.0/24,false
Reachability,frankfurt,100.0.12.0/24,false
Reachability,barcelona,100.0.12.0/24,false
Reachability,luxembourg,100.0.12.0/24,false
